Lager,,,
Export Dry,330ml,"Otahuhu, New Zealand",8.5
Corona,330ml,"Mexico City, Mexico",9
Green Fern Organic Lager,330ml,"Westport, New Zealand",11
Hallertau 1 Luxe,330ml,"Auckland, New Zealand",10
Harrington’s Lazy Sunday,330ml,"Christchurch, New Zealand",9
Harrington’s Sobering Thought,330ml,"Christchurch, New Zealand",9
Kirin Ichiban,330ml,"Yokohama, Japan",11.5
Leffe Radieuse,330ml,"Namur, Belgium",13
Moa Original,330ml,"Marlborough, New Zealand",10
Munich Bavarian,330ml,"Auckland, New Zealand",9
Pacifico,330ml,Mexico,9
Steinlager Pure,330ml,"Auckland, New Zealand",10
Tuatara Ardennes,330ml,"Wellington, New Zealand",12
Quilmes,330ml,"Buenos Aires, Argentina",9
Yeasty Boys Rex Attitude,330ml,"Wellington, New Zealand",12.5
Tecate,355ml,Mexico,9.5
Harrington’s Ngahere Gold,500ml,"Christchurch, New Zealand",17
Ale,,,
Cooper’s Sparkling Ale,330ml,"Adelaide, Australia",9
Croucher Pale Ale,330ml,"Rotorua, New Zealand",11
Epic Pale Ale,330ml,"Auckland, New Zealand",10
Hallertau 3 Red Ale,330ml,"Auckland, New Zealand",10
Hallertau 4 Deception,330ml,"Auckland, New Zealand",10
Westcoast Pale Ale,330ml,"Westport, New Zealand",11
Scotts Gluten Free Pale Ale,330ml,"Auckland, New Zealand",10
Moa St Five Hop,375ml,"Marlborough, New Zealand",15
Moa St Josephs,375ml,"Marlborough, New Zealand",15
Mystery Swappa,500ml,,15
NZ Craft Beer Mash Up,500ml,New Zealand,20
Harrington's Dopelback,500ml,"Christchurch, New Zealand",16
Harrington’s Big John,500ml,"Christchurch, New Zealand",16
Renaissance Stone Cutter,500ml,"Marlborough, New Zealand",18
Pilsner,,,
Croucher Pilsner,330ml,"Rotorua, New Zealand",11
Rogue Hop,500ml,"Marlborough, New Zealand",16
Wheat,,,
Tuatara Hefe,330ml,"Wellington, New Zealand",10
Cider,,,
Bulmers,500ml,"Clonmel, Ireland",15
Hallertau Granny Smith Apple,300ml,"Auckland, New Zealand",9
Weka,330ml,"Marlborough, New Zealand",9
Stout,,,
Epicurean Coffee & Fig 2011,750ml,"Auckland, New Zealand",45
IPA,,,
Hallertau Beast Wars IPA,330ml,"Auckland, New Zealand",12
Epic IPA,500ml,"Auckland, New Zealand",20
Tuatara APA,500ml,"Wellington, New Zealand",16
Barley Wine,,,
Hallertau Barley Wine,750ml,"Auckland, New Zealand",35
Porter,,,
Tuatara Porter,330ml,"Wellington, New Zealand",10
