Rye Whisky,,
Jim Beam Rye,"Frankfort, Kentucky",10
Pikesville Rye,"Bardstown, Kentucky",14.5
Van Winkle Rye 13yr,"Frankfort, Kentucky",25
Wild Turkey Rye,"Lawrenceburg, Kentucky",11
Rittenhouse 100 Proof,"Bardstown, Kentucky",14
Old Potrero,"San Francisco, California",25
Sazerac Rye,"Frankfort, Kentucky",18
Kentucky Straight Whisky,,
Bakers 7yr,"Clermont, Kentucky",11
Bookers Bourbon,"Clermont, Kentucky",14.5
Buffalo Trace,"Frankfort, Kentucky",10
Bulleit,"Lawrenceburg, Kentucky",10
Eagle Rare 10yr,"Frankfort, Kentucky",15
Elijah Craig 12yr,"Bardstown, Kentucky",15
Jeffersons Reserve,"Louisville, Kentucky",16.5
Knob Creek,"Clermont, Kentucky",18.5
Makers Mark,"Loretto, Kentucky",9
Wild Turkey 8yr,"Lawrenceburg, Kentucky",10
Wild Turkey Rare Breed,"Lawrenceburg, Kentucky",16
Woodford Reserve,"Versailles, Kentucky",12
Tennessee Whisky,,
Jack Daniels Black,"Lynchburg, Tennessee",9
Wheat Whisky,,
Bernhiem Wheat Whisky,"Bardstown, Kentucky",22
Straight Bourbon Whisky,,
AH Hirsch 16yr,"Schaefferstown, Pennsylvania",35
