Single Malt,,
Amrut Fusion,"Bangalore, India",22
Glenfarclas 105,"Highland, Scotland",20
Glengoyne 17yr,"Highland, Scotland",20
Glenmorangie 15 yr,"Highland, Scotland",22
Ardbeg 10yr,"Islay, Scotland",14.5
Ardbeg 15yr,"Islay, Scotland",25
Bruichladdie 125 Anniversary,"Islay, Scotland",40
Lagavulin 16yr,"Islay, Scotland",20
Laphroaig 10yr,"Islay, Scotland",16
Octomore 3.152,"Islay, Scotland",35
Auchentoshen 3 Wood,"Lowland, Scotland",18
Ledaig 12yr (Dun Bheagan),"Mull, Scotland",18
Tobermory 15yr,"Mull, Scotland",30
Highland Park 12yr,"Orkney, Scotland",13
Highland Park 18yr,"Orkney, Scotland",25
Glenrothes 1994,"Speyside, Scotland",25
Glenlivet Nadura,"Speyside, Scotland",25
Tailsker 30,"Skye, Scotland",50
Blended,,
Chivas Regal 12yr,"Speyside, Scotland",10
Chivas Regal 18yr,"Speyside, Scotland",20
Chivas Regal 21yr Royal Salute,"Speyside, Scotland",35
J&B Rare,"Speyside, Scotland",9
Monkey Shoulder,"Speyside, Scotland",11
Irish Whiskey,,
Jameson,"Cork, Ireland",9
Grain Whisky,,
Compass Box Hedonism,"Speyside, Scotland",22
Pure Pot Still,,
Redbreast 12yr,"Cork, Ireland",12
