"Sparkling, Prosecco & Champagne",,,,
NV,Deutz Prestige Cuvee,"Marlborough, New Zealand",13.5,65
NV,Champagne Deutz Brut Classic,"Epernay, France",19,128
NV,Bollinger Special Cuvee,"Champagne, France",,180
NV,Billecart-Salmon Rosé,"Champagne, France",,350
2,Perrier-Jouet Belle Epoque,"Champagne, France",,500
NV,Villa Sandi Prosecco,"Prosecco, Italy",9.5,50
"Dry, Fragrant, Crisp - White",,,,
9,Pra Soave,"Veneto, Italy",,62
5,Kim Crawford ‘Small Parcels’ Bone Dry Riesling,"Marlborough, New Zealand",,69
9,La Bastide Viognier,"Languedoc, France",9.5,48
9,I Masoletti Pinot Grigio,"Trentino, Italy",8.5,44
10,Framingham Sauvignon Blanc,"Marlborough, New Zealand",11,54
11,Mount Nelson Sauvignon Blanc,"Marlborough, New Zealand",12,60
Off-Dry & Sweeter - White,,,,
9,Rippon Riesling,"Wanaka, New Zealand",,79
9,Camshorn Classic Riesling,"Waipara, New Zealand",11.5,56
9,Guigal Côtes du Rhône Blanc,"Southern Rhône, France",,69
"Medium to Full Bodied, Elegant, Textured - White",,,,
9,Churton Sauvignon Blanc,"Marlborough, New Zealand",,65
5,Kim Crawford ‘Small Parcels’ Parkland Gewurztraminer,"Gisborne, New Zealand",,69
8,Framingham Pinot Gris,"Marlborough, New Zealand",13.5,69
9,Telmo Rodriguez Gaba do Xil Godello,"Galicia, Spain",,76
"Fuller-Bodied, Pronounced Oak Influence - White",,,,
9,Auntsfield Cob Cottage Chardonnay,"Marlborough, New Zealand",14.5,71
8,Kumeu River Matés Chardonnay,"Auckland, New Zealand",,120
Rosé,,,,
9,Conde De Valdemar Rosado,"Rioja, Spain",9.5,46
10,Gibbston Valley Rosé,"Gibbston, New Zealand",,69
